author_name,work_id,creation_date,chronological_index,split,historical_interaction_count
Etinjat,da-work-799620866,2019-05-18,20,fit,3936
Etinjat,da-work-802283032,2019-06-08,21,fit,5426
Etinjat,da-work-806659345,2019-06-15,22,fit,2019
Etinjat,da-work-815414847,2019-06-21,23,fit,1962
Etinjat,da-work-822940210,2019-06-25,24,fit,4437
Etinjat,da-work-835219410,2019-07-07,25,fit,3015
Etinjat,da-work-846940595,2019-07-24,26,fit,4975
Etinjat,da-work-858288847,2019-08-17,27,fit,1249
Etinjat,da-work-858377558,2019-08-20,28,fit,336
Etinjat,da-work-858456111,2019-08-22,29,fit,6169
Etinjat,da-work-901564094,2019-09-13,30,fit,14
Etinjat,da-work-912229461,2019-09-27,31,fit,2332
Etinjat,da-work-912942107,2019-09-28,32,fit,360
Etinjat,da-work-919140211,2019-10-10,33,fit,1211
Etinjat,da-work-943046033,2019-12-02,34,fit,300
Etinjat,da-work-963388335,2019-12-13,35,fit,210
Etinjat,da-work-986220250,2020-01-18,36,fit,3495
Etinjat,da-work-986232376,2020-01-19,37,fit,1695
Etinjat,da-work-986255831,2020-01-20,38,fit,1943
Etinjat,da-work-986308111,2020-01-24,39,fit,236
Etinjat,da-work-986536790,2020-02-01,40,fit,433
Etinjat,da-work-986560936,2020-02-03,41,fit,529
Etinjat,da-work-986572509,2020-02-04,42,fit,926
Etinjat,da-work-987072542,2020-02-13,43,fit,346
Etinjat,da-work-987087585,2020-02-14,44,fit,811
Etinjat,da-work-987529071,2020-02-17,45,fit,5276
Etinjat,da-work-993066801,2020-02-20,46,fit,582
Etinjat,da-work-999247145,2020-03-01,47,fit,4804
Etinjat,da-work-999696783,2020-03-04,48,fit,1359
Etinjat,da-work-999737203,2020-03-06,49,fit,573
Etinjat,da-work-999856373,2020-03-11,50,fit,777
Etinjat,da-work-999864019,2020-03-11,51,fit,1284
Etinjat,da-work-999927899,2020-03-13,52,fit,1138
Etinjat,da-work-1015498089,2020-03-31,53,fit,193
Etinjat,da-work-1024229829,2020-04-07,54,fit,2598
Etinjat,da-work-1086212331,2020-05-25,55,fit,850
Etinjat,da-work-1133955432,2020-05-31,56,fit,4349
Etinjat,da-work-1148395730,2020-06-11,57,fit,804
Etinjat,da-work-1165114729,2020-06-22,58,fit,522
Etinjat,da-work-1165115409,2020-06-22,59,fit,202
Etinjat,da-work-1165120332,2020-06-23,60,fit,1160
Etinjat,da-work-1204498253,2020-07-19,61,fit,7282
Etinjat,da-work-1257303606,2020-07-31,62,fit,1955
Etinjat,da-work-1261306531,2020-08-20,63,fit,22155
Etinjat,da-work-1278079946,2020-09-09,64,val,3149
Etinjat,da-work-1304974711,2020-09-25,65,val,851
Etinjat,da-work-1305053919,2020-10-02,66,val,812
Etinjat,da-work-1305762934,2020-11-10,67,val,1346
Etinjat,da-work-1306161187,2020-12-11,68,val,798
Etinjat,da-work-1306311171,2020-12-23,69,val,4314
Etinjat,da-work-1306318159,2020-12-24,70,val,647
Etinjat,da-work-1306990183,2021-02-24,71,val,250
Etinjat,da-work-1307247841,2021-03-15,72,val,1045
Etinjat,da-work-1307465113,2021-03-18,73,val,340
Etinjat,da-work-1308610057,2021-04-15,74,val,780
Etinjat,da-work-1310979032,2021-05-05,75,val,729
Etinjat,da-work-1312031374,2021-06-09,76,test,29707
Etinjat,da-work-1312092619,2021-06-15,77,test,1007
Etinjat,da-work-1312367742,2021-07-17,78,test,314
Etinjat,da-work-1312440942,2021-07-27,79,test,5242
Etinjat,da-work-1324148511,2021-09-24,80,test,497
Etinjat,da-work-1330042257,2021-11-13,81,test,5466
Etinjat,da-work-1331014733,2021-12-17,82,test,532
Etinjat,da-work-1331158659,2021-12-22,83,test,2572
Etinjat,da-work-1331206445,2021-12-28,84,test,5991
Agent Phage,da-work-52130700,2017-07-16,1,fit,4139
Agent Phage,da-work-52720697,2017-08-04,2,fit,3404
Agent Phage,da-work-53039189,2017-08-11,3,fit,1785
Agent Phage,da-work-53132605,2017-08-13,4,fit,1046
Agent Phage,da-work-53171803,2017-08-14,5,fit,1524
Agent Phage,da-work-53239187,2017-08-15,6,fit,1827
Agent Phage,da-work-55905675,2017-10-22,7,fit,3439
Agent Phage,da-work-65220238,2018-02-10,8,fit,964
Agent Phage,da-work-65472396,2018-02-15,9,fit,2419
Agent Phage,da-work-65588644,2018-02-19,10,fit,1479
Agent Phage,da-work-67619757,2018-03-25,11,fit,4055
Agent Phage,da-work-72726577,2018-04-15,12,fit,4546
Agent Phage,da-work-75311756,2018-05-06,13,fit,2519
Agent Phage,da-work-77150018,2018-05-12,14,fit,1265
Agent Phage,da-work-77194250,2018-05-13,15,fit,3585
Agent Phage,da-work-90739777,2018-06-30,16,fit,3925
Agent Phage,da-work-96065592,2018-07-29,17,fit,3415
Agent Phage,da-work-104815943,2018-08-25,18,fit,1090
Agent Phage,da-work-106634300,2018-09-04,19,fit,2531
Agent Phage,da-work-107297856,2018-09-16,20,fit,3194
Agent Phage,da-work-120861372,2018-10-07,21,fit,3327
Agent Phage,da-work-171135627,2018-10-17,22,fit,4593
Agent Phage,da-work-383975978,2018-11-26,23,fit,47066
Agent Phage,da-work-437477013,2018-12-09,24,fit,1673
Agent Phage,da-work-598141989,2019-02-01,25,fit,2753
Agent Phage,da-work-817623443,2019-06-21,26,fit,4392
Agent Phage,da-work-834731206,2019-07-05,27,fit,25148
Agent Phage,da-work-850079576,2019-07-31,28,fit,4231
Agent Phage,da-work-852946049,2019-08-03,29,fit,5562
Agent Phage,da-work-855597840,2019-08-12,30,fit,2572
Agent Phage,da-work-857753354,2019-08-14,31,fit,1221
Agent Phage,da-work-985862865,2019-12-21,32,fit,2277
Agent Phage,da-work-985862979,2019-12-21,33,fit,2088
Agent Phage,da-work-985863073,2019-12-21,34,fit,3242
Agent Phage,da-work-985863162,2019-12-21,35,fit,2019
Agent Phage,da-work-986357745,2020-01-28,36,fit,4321
Agent Phage,da-work-988356444,2020-02-18,37,fit,970
Agent Phage,da-work-999922846,2020-03-13,38,fit,1569
Agent Phage,da-work-1002239704,2020-03-21,39,fit,1813
Agent Phage,da-work-1002340709,2020-03-26,40,fit,2331
Agent Phage,da-work-1002342616,2020-03-26,41,fit,2886
Agent Phage,da-work-1133221610,2020-05-30,42,fit,2134
Agent Phage,da-work-1156352079,2020-06-15,43,fit,3819
Agent Phage,da-work-1164253803,2020-06-18,44,fit,1725
Agent Phage,da-work-1204177967,2020-07-19,45,fit,5016
Agent Phage,da-work-1260628233,2020-08-03,46,val,4784
Agent Phage,da-work-1267725120,2020-08-23,47,val,11181
Agent Phage,da-work-1306820190,2021-02-11,48,val,3425
Agent Phage,da-work-1306878731,2021-02-12,49,val,4250
Agent Phage,da-work-1306900999,2021-02-14,50,val,4261
Agent Phage,da-work-1306901813,2021-02-14,51,test,3190
Agent Phage,da-work-1308319039,2021-03-21,52,test,2061
Agent Phage,da-work-1308475040,2021-04-04,53,test,22559
Agent Phage,da-work-1313624985,2021-08-14,54,test,19923
Agent Phage,da-work-1324311781,2021-10-04,55,test,2964
Agent Phage,da-work-1329988705,2021-11-11,56,test,1264
QBLevi,da-work-52911297,2017-08-08,1,fit,473
QBLevi,da-work-53608900,2017-08-23,2,fit,1800
QBLevi,da-work-53806893,2017-08-27,3,fit,741
QBLevi,da-work-53908309,2017-08-30,4,fit,492
QBLevi,da-work-54073089,2017-09-05,5,fit,663
QBLevi,da-work-54321791,2017-09-12,6,fit,1266
QBLevi,da-work-54366269,2017-09-13,7,fit,587
QBLevi,da-work-54403335,2017-09-14,8,fit,1060
QBLevi,da-work-54524464,2017-09-18,9,fit,1455
QBLevi,da-work-54597850,2017-09-20,10,fit,762
QBLevi,da-work-56213413,2017-10-30,11,fit,1186
QBLevi,da-work-56675203,2017-11-10,12,fit,1147
QBLevi,da-work-56889366,2017-11-17,13,fit,1075
QBLevi,da-work-57115674,2017-11-24,14,fit,1380
QBLevi,da-work-57678755,2017-12-12,15,fit,1778
QBLevi,da-work-58196932,2017-12-25,16,fit,2720
QBLevi,da-work-59516832,2018-01-01,17,fit,1405
QBLevi,da-work-64454665,2018-01-27,18,fit,1781
QBLevi,da-work-65317650,2018-02-13,19,fit,906
QBLevi,da-work-65455858,2018-02-15,20,fit,1319
QBLevi,da-work-66142500,2018-03-01,21,fit,2598
QBLevi,da-work-67086107,2018-03-15,22,fit,1962
QBLevi,da-work-67086295,2018-03-15,23,fit,4969
QBLevi,da-work-69986265,2018-04-01,24,fit,4699
QBLevi,da-work-69996711,2018-04-01,25,fit,178
QBLevi,da-work-75381557,2018-05-07,26,fit,2384
QBLevi,da-work-81308913,2018-05-26,27,fit,2335
QBLevi,da-work-87676565,2018-06-20,28,fit,3269
QBLevi,da-work-96998778,2018-08-02,29,val,379
QBLevi,da-work-97026417,2018-08-02,30,val,5739
QBLevi,da-work-103791839,2018-08-22,31,test,458
QBLevi,da-work-107329691,2018-09-18,32,test,3071
QBLevi,da-work-107823928,2018-09-27,33,test,2027
QBLevi,da-work-440694002,2018-12-10,34,test,409
QBLevi,da-work-486740375,2018-12-19,35,test,3881
QBLevi,da-work-854836245,2019-08-10,36,test,1581
QBLevi,da-work-909936628,2019-09-23,37,test,1256
breaddddd,da-work-65174448,2018-02-09,1,fit,2204
breaddddd,da-work-65465527,2018-02-15,2,fit,34
breaddddd,da-work-65742004,2018-02-21,3,fit,2866
breaddddd,da-work-66936351,2018-03-11,4,fit,2954
breaddddd,da-work-67753651,2018-03-26,5,fit,3940
breaddddd,da-work-72587967,2018-04-14,6,fit,1360
breaddddd,da-work-75495595,2018-05-07,7,fit,3560
breaddddd,da-work-78844309,2018-05-18,8,fit,2370
breaddddd,da-work-81594691,2018-05-27,9,fit,2469
breaddddd,da-work-89089899,2018-06-24,10,fit,4891
breaddddd,da-work-95136464,2018-07-25,11,fit,13404
breaddddd,da-work-298824867,2018-10-31,12,fit,674
breaddddd,da-work-437478981,2018-12-09,13,fit,2247
breaddddd,da-work-527681322,2019-01-06,14,fit,3500
breaddddd,da-work-598334976,2019-02-10,15,fit,3431
breaddddd,da-work-598353484,2019-02-11,16,fit,3124
breaddddd,da-work-624209317,2019-03-05,17,fit,881
breaddddd,da-work-638312903,2019-03-12,18,fit,754
breaddddd,da-work-693864879,2019-04-13,19,fit,1354
breaddddd,da-work-706086481,2019-04-15,20,fit,10025
breaddddd,da-work-783917970,2019-05-05,21,fit,14193
breaddddd,da-work-790242651,2019-05-12,22,fit,4881
breaddddd,da-work-790456839,2019-05-13,23,fit,2254
breaddddd,da-work-802230065,2019-06-02,24,fit,8638
breaddddd,da-work-814110819,2019-06-20,25,fit,1544
breaddddd,da-work-822917699,2019-06-24,26,fit,7715
breaddddd,da-work-846459613,2019-07-16,27,fit,2095
breaddddd,da-work-847205462,2019-07-27,28,fit,3817
breaddddd,da-work-858222222,2019-08-15,29,fit,721
breaddddd,da-work-896429708,2019-09-07,30,fit,8994
breaddddd,da-work-914167985,2019-09-30,31,fit,332
breaddddd,da-work-919160150,2019-10-12,32,fit,17497
breaddddd,da-work-924639194,2019-10-30,33,fit,4039
breaddddd,da-work-941042572,2019-12-01,34,fit,4522
breaddddd,da-work-942606126,2019-12-02,35,fit,799
breaddddd,da-work-985912542,2019-12-24,36,fit,1558
breaddddd,da-work-986029089,2020-01-02,37,fit,1230
breaddddd,da-work-986478250,2020-01-30,38,fit,5008
breaddddd,da-work-999753970,2020-03-07,39,fit,1854
breaddddd,da-work-1024189828,2020-04-04,40,fit,4216
breaddddd,da-work-1024284927,2020-04-11,41,fit,1069
breaddddd,da-work-1076522189,2020-05-24,42,fit,1566
breaddddd,da-work-1165201965,2020-06-29,43,fit,14295
breaddddd,da-work-1260808376,2020-08-16,44,fit,4666
breaddddd,da-work-1299736730,2020-09-14,45,fit,14509
breaddddd,da-work-1306372902,2020-12-31,46,val,11879
breaddddd,da-work-1306989753,2021-02-24,47,val,1261
breaddddd,da-work-1308413127,2021-03-25,48,val,13739
breaddddd,da-work-1308434499,2021-03-27,49,val,1869
breaddddd,da-work-1308434501,2021-03-27,50,val,1783
breaddddd,da-work-1308482173,2021-04-05,51,test,19039
breaddddd,da-work-1311008924,2021-05-09,52,test,2052
breaddddd,da-work-1311013939,2021-05-10,53,test,13242
breaddddd,da-work-1312533781,2021-08-07,54,test,10590
breaddddd,da-work-1330077047,2021-11-16,55,test,16985
